filename,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSAltitude,GPSAltitudeRef,GPSVersionID,DateTimeOriginal,DateTimeDigitized
2025_1226_113225_110.JPG,21.16185708333333,N,72.78557941666666,E,32.1,0,2.2.0.0,2025:12:26 11:32:24,2025:12:26 11:32:24
2025_1226_113228_111.JPG,21.161852999999997,N,72.78557941666666,E,31.7,0,2.2.0.0,2025:12:26 11:32:27,2025:12:26 11:32:27
2025_1226_113231_112.JPG,21.161852999999997,N,72.78557127777778,E,31.1,0,2.2.0.0,2025:12:26 11:32:30,2025:12:26 11:32:30
2025_1226_113234_113.JPG,21.161852999999997,N,72.78557127777778,E,30.4,0,2.2.0.0,2025:12:26 11:32:33,2025:12:26 11:32:33
2025_1226_113237_114.JPG,21.16185708333333,N,72.78556313888889,E,29.7,0,2.2.0.0,2025:12:26 11:32:36,2025:12:26 11:32:36
2025_1226_113240_115.JPG,21.161852999999997,N,72.78556313888889,E,29.1,0,2.2.0.0,2025:12:26 11:32:39,2025:12:26 11:32:39
2025_1226_113243_116.JPG,21.161852999999997,N,72.78556313888889,E,28.6,0,2.2.0.0,2025:12:26 11:32:42,2025:12:26 11:32:42
2025_1226_113246_117.JPG,21.161852999999997,N,72.78556313888889,E,28.2,0,2.2.0.0,2025:12:26 11:32:45,2025:12:26 11:32:45
2025_1226_113249_118.JPG,21.161852999999997,N,72.78556313888889,E,27.7,0,2.2.0.0,2025:12:26 11:32:48,2025:12:26 11:32:48
2025_1226_113252_119.JPG,21.161852999999997,N,72.78556313888889,E,27.5,0,2.2.0.0,2025:12:26 11:32:51,2025:12:26 11:32:51
